title,genre,release,rated,value,budget,opening,domestic,worldwide,ratio,zrating,zbudget,zopening,ztotal,compound,tweet_count
#ChapterVerse,Drama,20170208,R,79.67,40000000,32713,84147,84147,0.000817825,1.0521253498543337,-0.1855545121804008,-0.5875271950421957,-0.2267010524104588,,0
#SpiderManHomecoming,Action,20170707,PG-13,80.0,175000000,117027503,334201140,880206511,0.6687285885714286,1.0684899075347072,2.098012034877425,2.8412833532649544,75.72192750608491,0.27095384615384616,65
#LoganLucky,Comedy,20170818,PG-13,80.67,29000000,7600036,27778642,39212299,0.2620702068965517,1.1017149185827388,-0.3716228974962236,-0.3657487985439645,26.20561511365376,0.3904710144927536,69
#WonderWoman,Action,20170602,PG-13,81.0,150000000,103251471,412563408,817012815,0.68834314,1.1180794762631123,1.6751293409778276,2.4375439744822165,76.50261076620536,0.366359,100
#ITonya,Comedy,20171208,R,81.0,11000000,264155,29509813,45709813,0.02401409090909091,1.1180794762631123,-0.6760984371039337,-0.580744236835926,1.6819016563964182,0.28644600000000003,100
#ThePost,Drama,20171222,PG-13,81.33,50000000,526011,81159866,152400164,0.01052022,1.1344440339434865,-0.016401434620561834,-0.5730699240315907,1.023924751259743,0.255882,100
#Annihilation,Thriller/Suspense,20180223,R,81.67,55000000,11071584,26246833,26246833,0.20130152727272727,1.1513044873111442,0.06817510415935764,-0.2640068286549241,20.82161866143338,0.200074,100
#ThorRagnarok,Action,20171103,PG-13,82.0,180000000,122744989,315034967,850630090,0.6819166055555556,1.1676690449915181,2.1825885736573447,3.0088478773484493,77.55961392890131,0.24477800000000002,100
#BladeRunner2049,Thriller/Suspense,20171006,R,83.33,185000000,32753122,92054159,259103376,0.1770439027027027,1.2336231714002972,2.267165112437264,0.3714222036799543,21.94802296146774,0.30481600000000003,100
#WarforthePlanetoftheApes,Action,20170714,PG-13,83.33,152000000,56262929,146880162,490280162,0.37015084868421055,1.2336231714002972,1.7089599564897957,1.0604330068983308,42.078534010107816,0.44786627906976756,86
