title,genre,release,rated,value,budget,opening,domestic,worldwide,ratio,zrating,zbudget,zopening,ztotal
#TheDarkTower,Western,20170804,PG-13,35.67,60000000,19153698,50701325,113018076,0.3192283,-1.129328203544316,0.1527516429392771,-0.02714125766820847,-0.0731741759414557
#BitterHarvest,Drama,20170224,R,35.67,21000000,219357,557241,606162,0.010445571428571429,-1.129328203544316,-0.5069453595440948,-0.5820571487608337,-2.769051146324364
#TheStar,Adventure,20171117,APPROVED,36.0,20000000,9812674,40847995,62005389,0.4906337,-1.1129519640996037,-0.5238606673000786,-0.30090218004082225,-0.7667158914813268
#JabHarryMetSejal,Comedy,20170804,N/A,36.0,16600000,1284740,1284740,11176544,0.07739397590361445,-1.1129519640996037,-0.5813727136704239,-0.5508335663398805,-2.563809882738945
#TulipFever,Drama,20170901,R,36.33,25000000,1158017,2455635,3882453,0.04632068,-1.0965757246548917,-0.4392841285201592,-0.554547485217064,-2.505992783609179
#DaddysHome2,Comedy,20171110,PG-13,36.33,70000000,29651193,104029443,176154137,0.4235884714285714,-1.0965757246548917,0.32190472049911606,0.2805127975833251,1.0571200052965888
#ProudMary,Action,20180112,R,37.0,14000000,9959053,20868638,21579735,0.7113609285714285,-1.0633269960853244,-0.625352513835982,-0.2966121953393612,-0.14782111488574357
#Baywatch,Comedy,20170525,R,37.0,60000000,18503871,58060186,176533570,0.30839785,-1.0633269960853244,0.1527516429392771,-0.046185983268167155,-0.07775376968238179
#TheOttomanLieutenant,Drama,20170310,R,37.33,40000000,149830,240978,397852,0.00374575,-1.0469507566406122,-0.18555451218040078,-0.5840948028392089,-2.3894576244994306
#TheCircle,Thriller/Suspense,20170428,PG-13,37.33,18000000,9034148,20497844,40651864,0.5018971111111111,-1.0469507566406122,-0.5576912828120464,-0.3237187358971247,-0.7463881779135746
#Collide,Action,20170224,PG-13,37.67,29200000,1512824,2280004,5278519,0.051809041095890414,-1.030078267515757,-0.36823983594502685,-0.5441490223093293,-2.331189024791771
